node x y z
0 -3588.5791206205445 6180.194578974376 253.171603980371
1 -3183.7083536008295 4945.525722535262 4067.256747115228
2 -1768.0326793211382 2140.687392606164 6590.016610903916
3 208.98087832105742 -1343.8040591010533 7020.492763562945
4 2119.644483684643 -4401.647216909448 5222.012068222226
5 3357.3359421706045 -6061.998483902165 1765.579438195076
6 3529.0969608196037 -5797.708064290475 -2251.41218847083
7 2580.3946298159485 -3692.6862989142164 -5553.596353015605
8 812.4352360429444 -415.2627249072912 -7092.5529153146545
9 -1213.4666047806265 2994.003830151496 -6379.674040585487
10 -2854.101372531661 5452.695323757351 -3641.2937345931846
11 -5965.924304217919 3266.1116255318466 2208.4073550655585
12 -4110.553437292713 1927.1109003962501 5525.069684332951
13 -950.1108978097817 -23.73391930019806 7087.561427101548
14 2511.985138564945 -1967.0433873146944 6399.802495081421
15 5176.543642284149 -3285.830478321202 3680.1514897165575
16 6197.586115287717 -3561.3896090294675 -207.92161092544015
17 5250.938786738387 -2706.2327024473952 -4029.9810692025176
18 2637.155494760172 -991.8660341648255 -6572.550012493353
19 -813.9060335540727 1037.4110917745697 -7028.380766236799
20 -4006.558147000131 2737.317526072047 -5252.750286865507
21 -5927.156357760746 3568.1449868030654 -1809.4087055744214
22 -7146.495032635727 -17.70343540634673 253.17254370823258
23 -5874.804551052551 -284.4101411247014 4067.2574738461876
24 -2737.905133895591 -460.8186365819932 6590.01689390603
25 1268.2598181599628 -490.9204709133982 7020.492512985041
26 4871.7612390453905 -365.15852440809385 5222.011363621017
27 6928.512888753931 -123.46132649006182 1765.578503276469
28 6785.510650815845 157.43397025251733 -2251.413056876784
29 4488.156725370943 388.3450938152001 -5553.596879196151
30 765.8447514208169 495.9593940068698 -7092.552932211188
31 -3199.6175199049862 446.1100908829819 -6379.673542833476
32 -6149.223836078033 254.62398596702621 -3641.292880225378
33 -5811.497500092917 -3533.5865663563177 2208.4075222838637
34 -3724.2029854591074 -2596.2891873345256 5525.069735200388
35 -454.5003369028971 -834.6883358368158 7087.561345468068
36 2959.5029572740596 1191.9201646631252 6399.802306865074
37 5433.88497336516 2840.1024345879705 3680.151254674705
38 6183.046904409358 3586.572248736012 -207.92181816867048
39 4969.135130625381 3194.3307154189165 -4029.9811828488646
40 2177.5580630989157 1787.911750018626 -6572.549996460904
41 -1305.378303571408 -186.15656323181875 -7028.380625615744
42 -4373.866282220162 -2101.121482975586 -5252.750066302036
43 -6053.68262052638 -3348.995177689584 -1809.4084750958798
44 -3557.9158581245833 -6197.898006930835 253.17196169480115
45 -2691.0953316856603 -5229.935743975655 4067.256941682619
46 -969.8710518075376 -2601.5058352683486 6590.0165805504985
47 1059.2804342380914 852.8837947747935 7020.492517925712
48 2752.11786693102 4036.488846165865 5222.011685289263
49 3571.1773224089798 5938.537209366592 1765.579039544895
50 3256.4132107552855 5955.141968292273 -2251.4124762696138
51 1907.7609134030467 4081.0312293076267 -5553.596438588912
52 -46.591994360177395 911.2219102065635 -7092.552771493563
53 -1986.152273117348 -2547.8939269987313 -6379.673713032179
54 -3295.1232386411184 -5198.071444940144 -3641.2933273035205
55 154.4272742117174 -6799.698126902937 2208.406348472173
56 386.3516279132165 -4523.399925148434 5525.068916925466
57 495.61206958242525 -810.9542079759026 7087.56114252642
58 447.5191809867604 3158.9637403003526 6399.802783689239
59 257.34211444723263 6125.933021202451 3680.152259876381
60 -14.539255136798966 7147.961851647151 -207.92060373391416
61 -281.80451394436517 5900.563299278905 -4029.9801447554823
62 -459.5988307101427 2779.777590777627 -6572.549464296209
63 -491.47376609561013 -1223.5678618256459 -7028.380768338267
64 -367.30925333341236 -4838.439163616671 -5252.7508385983865
65 -126.52664792102298 -6917.14021773689 -1809.4096317674205
