Node,back_link,front_link,left_link,right_link
0,"(0, 1, '0.013440749433918198', '4029.4353101564457')","(0, 10, '0.013440107107489191', '4029.2427455374545')","(0, 55, '0.019395794406020916', '5814.712879843661')","(0, 11, '0.01408739025288733', '4223.293350718334')"
1,"(1, 2, '0.0134407494339182', '4029.435310156446')","(1, 0, '0.013440107107489175', '4029.24274553745')","(1, 56, '0.0193914621292118', '5813.4140959303195')","(1, 12, '0.011429127477171975', '3426.366219176725')"
2,"(2, 3, '0.013440749433918209', '4029.4353101564484')","(2, 1, '0.013440107107489177', '4029.2427455374504')","(2, 57, '0.011454720452782176', '6666')","(2, 13, '0.00777784916273514', '6666')"
3,"(3, 4, '0.013440749433918204', '4029.435310156447')","(3, 2, '0.013440107107489179', '4029.242745537451')","(3, 58, '0.01626093352409415', '6666')","(3, 14, '0.008370092781118783', '6666')"
4,"(4, 5, '0.013440749433918195', '4029.4353101564443')","(4, 3, '0.013440107107489177', '4029.2427455374504')","(4, 59, '0.01938109752487454', '5810.306865719854')","(4, 15, '0.012171054966830424', '3648.790484959201')"
5,"(5, 6, '0.013440749433918214', '4029.43531015645')","(5, 4, '0.013440107107489168', '4029.242745537448')","(5, 60, '0.019376764771514482', '5809.007938940134')","(5, 16, '0.014263183886027207', '4275.994956098088')"
6,"(6, 7, '0.013440749433918191', '4029.435310156443')","(6, 5, '0.013440107107489186', '4029.242745537453')","(6, 61, '0.01937243187789683', '5807.708970112247')","(6, 17, '0.013088573749435345', '3923.855696057498')"
7,"(7, 8, '0.013440749433918207', '4029.435310156448')","(7, 6, '0.013440107107489168', '4029.2427455374477')","(7, 62, '0.01936809884413092', '5806.409959268967')","(7, 18, '0.009450632669511145', '2833.228397647848')"
8,"(8, 9, '0.013440749433918214', '4029.43531015645')","(8, 7, '0.01344010710748918', '4029.2427455374514')","(8, 63, '0.005588495739256364', '6666')","(8, 19, '0.007301814385399406', '6666')"
9,"(9, 10, '0.013440749433918178', '4029.435310156439')","(9, 8, '0.01344010710748919', '4029.242745537454')","(9, 64, '0.0194044585374132', '6666')","(9, 20, '0.010266709740623816', '6666')"
10,"(10, 0, '0.013440749433918221', '4029.435310156452')","(10, 9, '0.013440107107489153', '4029.242745537443')","(10, 65, '0.019400126542122503', '5816.011621573945')","(10, 21, '0.013589697889318157', '4074.088933716102')"
11,"(11, 12, '0.013440749433918209', '4029.4353101564484')","(11, 21, '0.013440107107489182', '4029.242745537452')","(11, 0, '0.014087044977172544', '4223.18983966311')","(11, 22, '0.013287826212055402', '3983.5900815889186')"
12,"(12, 13, '0.013440749433918207', '4029.435310156448')","(12, 11, '0.013440107107489177', '4029.2427455374504')","(12, 1, '0.011428782202800651', '3426.2627085242616')","(12, 23, '0.010427772924199039', '3126.1676764114773')"
13,"(13, 14, '0.013440749433918207', '4029.435310156448')","(13, 12, '0.013440107107489177', '4029.2427455374504')","(13, 2, '0.007777503911799814', '6666')","(13, 24, '0.006213757822576748', '6666')"
14,"(14, 15, '0.013440749433918204', '4029.435310156447')","(14, 13, '0.01344010710748918', '4029.2427455374514')","(14, 3, '0.008369747527808254', '6666')","(14, 25, '0.006940733247918356', '6666')"
15,"(15, 16, '0.013440749433918197', '4029.4353101564448')","(15, 14, '0.013440107107489172', '4029.242745537449')","(15, 4, '0.012170709694418871', '3648.686974894262')","(15, 26, '0.011235989083350264', '3368.464785358742')"
16,"(16, 17, '0.013440749433918217', '4029.435310156451')","(16, 15, '0.013440107107489165', '4029.242745537447')","(16, 5, '0.01426283861086562', '4275.89144520871')","(16, 27, '0.013474050261159335', '4039.418647008499')"
17,"(17, 18, '0.013440749433918197', '4029.4353101564448')","(17, 16, '0.013440107107489187', '4029.2427455374536')","(17, 6, '0.013088228473554515', '3923.752184952496')","(17, 28, '0.012223877591399994', '3664.626309416924')"
18,"(18, 19, '0.0134407494339182', '4029.435310156446')","(18, 17, '0.013440107107489174', '4029.2427455374495')","(18, 7, '0.00945028740165297', '6666')","(18, 29, '0.00821153016379772', '6666')"
19,"(19, 20, '0.013440749433918221', '4029.435310156452')","(19, 18, '0.013440107107489168', '4029.242745537448')","(19, 8, '0.007301469147196113', '6666')","(19, 30, '0.005606478202435638', '6666')"
20,"(20, 21, '0.013440749433918197', '4029.4353101564448')","(20, 19, '0.013440107107489186', '4029.242745537453')","(20, 9, '0.01026636447361677', '3077.7786402694483')","(20, 31, '0.009138894995451107', '2739.771794090186')"
21,"(21, 11, '0.013440749433918212', '4029.4353101564493')","(21, 20, '0.013440107107489165', '4029.242745537447')","(21, 10, '0.013589352614968457', '4073.985423070121')","(21, 32, '0.012758992641502436', '3825.0497655999284')"
22,"(22, 23, '0.0134407494339182', '4029.435310156446')","(22, 32, '0.013440107107489191', '4029.2427455374545')","(22, 11, '0.013288091820648516', '3983.669709041914')","(22, 33, '0.01408739025288734', '4223.293350718337')"
23,"(23, 24, '0.013440749433918205', '4029.4353101564475')","(23, 22, '0.013440107107489174', '4029.2427455374495')","(23, 12, '0.010428038532524267', '3126.247303784163')","(23, 34, '0.011429127477171978', '3426.3662191767257')"
24,"(24, 25, '0.013440749433918212', '4029.4353101564493')","(24, 23, '0.013440107107489182', '4029.2427455374523')","(24, 13, '0.006214023405933109', '6666')","(24, 35, '0.00777784916273514', '6666')"
25,"(25, 26, '0.013440749433918207', '4029.435310156448')","(25, 24, '0.013440107107489177', '4029.2427455374504')","(25, 14, '0.006940998835583954', '6666')","(25, 36, '0.008370092781118783', '6666')"
26,"(26, 27, '0.013440749433918195', '4029.4353101564443')","(26, 25, '0.013440107107489172', '4029.242745537449')","(26, 15, '0.011236254689856623', '3368.544412186144')","(26, 37, '0.012171054966830418', '3648.7904849591996')"
27,"(27, 28, '0.013440749433918214', '4029.43531015645')","(27, 26, '0.013440107107489161', '4029.242745537446')","(27, 16, '0.01347431586928273', '4039.498274320676')","(27, 38, '0.014263183886027203', '4275.994956098087')"
28,"(28, 29, '0.013440749433918198', '4029.435310156445')","(28, 27, '0.013440107107489186', '4029.242745537453')","(28, 17, '0.012224143200416029', '3664.7059369967083')","(28, 39, '0.013088573749435348', '3923.855696057499')"
29,"(29, 30, '0.013440749433918207', '4029.435310156448')","(29, 28, '0.013440107107489168', '4029.242745537448')","(29, 18, '0.008211795767055297', '2461.834437599503')","(29, 40, '0.009450632669511145', '2833.228397647848')"
30,"(30, 31, '0.01344074943391822', '4029.4353101564516')","(30, 29, '0.01344010710748918', '4029.2427455374514')","(30, 19, '0.005606743764705355', '6666')","(30, 41, '0.007301814385399406', '6666')"
31,"(31, 32, '0.01344074943391818', '4029.4353101564393')","(31, 30, '0.01344010710748919', '4029.242745537454')","(31, 20, '0.009139160597874875', '6666')","(31, 42, '0.010266709740623813', '6666')"
32,"(32, 22, '0.013440749433918221', '4029.435310156452')","(32, 31, '0.013440107107489146', '4029.2427455374414')","(32, 21, '0.012759258249183331', '3825.1293927794472')","(32, 43, '0.013589697889318152', '4074.0889337161007')"
33,"(33, 34, '0.01344074943391821', '4029.435310156449')","(33, 43, '0.013440107107489182', '4029.2427455374523')","(33, 22, '0.01408704497717255', '4223.189839663112')","(33, 44, '0.013287826212055398', '3983.5900815889167')"
