x y weight
0 1 4029.2427455374495
0 10 4029.435310156452
0 11 4248.984969125495
1 2 4029.242745537451
1 12 3516.22088836118
10 9 4029.2427455374423
10 21 4019.252372083917
11 12 4029.24274553745
11 21 4029.4353101564493
11 22 4011.0060494449062
2 3 4029.242745537451
12 13 4029.2427455374504
12 23 3224.588699826431
3 4 4029.2427455374486
4 5 4029.2427455374477
4 15 3563.847470054187
5 6 4029.242745537453
5 16 4260.265253105739
15 14 4029.242745537451
15 16 4029.242745537446
15 26 3276.4564981354415
6 7 4029.2427455374473
6 17 3987.0933879756944
16 17 4029.2427455374536
16 27 4022.9535450160647
7 8 4029.242745537451
7 18 2928.634973505041
17 18 4029.2427455374495
17 28 3732.447400757504
8 9 4029.242745537454
18 19 4029.2427455374477
18 29 2571.0595805042917
9 20 2980.9649346718456
21 20 4029.2427455374473
21 32 3766.780655103802
22 23 4029.24274553745
22 32 4029.435310156452
22 33 4248.984969125495
13 14 4029.2427455374504
23 24 4029.24274553745
23 34 3516.2208883611816
26 25 4029.242745537448
26 27 4029.2427455374473
26 37 3563.8474700541856
27 28 4029.2427455374527
27 38 4260.265253105741
28 29 4029.242745537447
28 39 3987.093387975693
19 20 4029.242745537453
20 31 2630.547230230721
31 30 4029.2427455374536
31 32 4029.2427455374423
31 42 2980.9649346718447
32 43 4019.252372083918
33 34 4029.2427455374504
33 43 4029.4353101564493
33 44 4011.0060494449076
24 25 4029.242745537451
34 35 4029.242745537449
34 45 3224.5886998264327
37 36 4029.24274553745
37 38 4029.242745537447
37 48 3276.4564981354397
38 39 4029.2427455374527
38 49 4022.9535450160624
29 30 4029.242745537449
29 40 2928.634973505041
39 40 4029.2427455374477
39 50 3732.4474007575013
40 41 4029.242745537448
40 51 2571.05958050429
43 42 4029.2427455374477
43 54 3766.780655103801
44 45 4029.2427455374486
44 54 4029.435310156452
44 55 4248.984969125495
35 36 4029.242745537451
45 46 4029.2427455374504
45 56 3516.220888361182
48 47 4029.242745537449
48 49 4029.2427455374473
48 59 3563.8474700541856
49 50 4029.242745537453
49 60 4260.265253105742
50 51 4029.2427455374473
50 61 3987.093387975694
41 42 4029.2427455374545
42 53 2630.5472302307207
53 52 4029.2427455374554
53 54 4029.2427455374404
53 64 2980.9649346718447
54 65 4019.2523720839163
55 56 4029.2427455374504
55 65 4029.435310156449
46 47 4029.242745537451
56 57 4029.24274553745
59 58 4029.24274553745
59 60 4029.242745537447
60 61 4029.2427455374527
51 52 4029.24274553745
51 62 2928.634973505041
61 62 4029.242745537448
62 63 4029.2427455374477
65 64 4029.242745537447
57 58 4029.2427455374514
63 64 4029.2427455374536
